409395 bleskes {'Error Prone': 21.09787224120151, 'Design': 5.331423662045173, 'Performance': 120.61902018064035, 'Security': 227.63341080560966, 'Code Style': 6.2455682856647385, 'Best Practices': 10.173067744885083, 'Multithreading': 215.58566907570244, 'Documentation': 11.752437736001996} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 19, 'java.security': 0, 'java.nio': 0, 'java.lang': 5, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
17358 kchodorow {'Error Prone': 9.39924300254483, 'Design': 5.903883968812832, 'Performance': 11.80753687684591, 'Security': 11.80753687684591, 'Code Style': 3.1903075126176073, 'Best Practices': 10.118192785426865, 'Multithreading': 11.69653174334774, 'Documentation': 5.951933641956967} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 19, 'java.security': 0, 'java.nio': 9, 'java.lang': 12, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 1}
126508 donnfelker {'Error Prone': 51.07799765428207, 'Design': 55.521116322349386, 'Performance': 133.0698140022364, 'Security': 160.0170158940496, 'Code Style': 40.43042805097896, 'Best Practices': 123.40948323034097, 'Multithreading': 160.0170158940496, 'Documentation': 27.44133124410288} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 48, 'java.security': 0, 'java.nio': 0, 'java.lang': 75, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 6}
131388 twall {'Error Prone': 28.22142335013171, 'Design': 15.209552343523036, 'Performance': 38.7701028517379, 'Security': 47.47784346806903, 'Code Style': 6.816006498316848, 'Best Practices': 17.915836581159716, 'Multithreading': 38.954147398305224, 'Documentation': 5.9700763056812285} {'java.sql': 0, 'java.text': 0, 'java.net': 6, 'java.math': 0, 'java.rmi': 0, 'java.util': 407, 'java.security': 1, 'java.nio': 0, 'java.lang': 685, 'others': 0, 'java.beans': 0, 'java.awt': 266, 'java.io': 162}
24303 dakrone {'Error Prone': 52.578004549157924, 'Design': 5.33081850501043, 'Performance': 158.83093158213882, 'Security': 227.63341080560966, 'Code Style': 9.860238560443534, 'Best Practices': 128.40409218647096, 'Multithreading': 169.6130605830714, 'Documentation': 19.96279933352727} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 86, 'java.security': 0, 'java.nio': 0, 'java.lang': 79, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
41841 alexott {'Error Prone': 64.9619944827288, 'Design': 12.023841509491703, 'Performance': 149.8584472885888, 'Security': 179.1542683173844, 'Code Style': 10.869249461623285, 'Best Practices': 86.7100241996493, 'Multithreading': 132.12566685985203, 'Documentation': 20.038644908731843} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 0, 'java.security': 0, 'java.nio': 0, 'java.lang': 0, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
241546 ben-manes {'Error Prone': 53.27335565660599, 'Design': 11.21723767248534, 'Performance': 156.97444967984754, 'Security': 184.12981457302743, 'Code Style': 7.390246007733699, 'Best Practices': 46.245061599547576, 'Multithreading': 155.08161661398861, 'Documentation': 12.38118592691387} {'java.sql': 0, 'java.text': 0, 'java.net': 1, 'java.math': 0, 'java.rmi': 0, 'java.util': 4253, 'java.security': 13, 'java.nio': 4, 'java.lang': 1302, 'others': 69, 'java.beans': 0, 'java.awt': 0, 'java.io': 25}
53495 jwagenleitner {'Error Prone': 36.00560587625532, 'Design': 7.99492537753992, 'Performance': 57.747995020530105, 'Security': 107.73574587738128, 'Code Style': 1.4605113327228973, 'Best Practices': 23.399602779922613, 'Multithreading': 77.56607941574794, 'Documentation': 6.9912513579062034} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 48, 'java.security': 0, 'java.nio': 0, 'java.lang': 38, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 1}
3018 tml {'Error Prone': 26.843491385382823, 'Design': 4.57395017789847, 'Performance': 39.3292785392967, 'Security': 161.70353833316284, 'Code Style': 4.878055375253355, 'Best Practices': 60.60534181341422, 'Multithreading': 161.70353833316284, 'Documentation': 23.98752004089293} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 2448, 'java.security': 0, 'java.nio': 1, 'java.lang': 1478, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 42}
114905 willbailey {'Error Prone': 26.248609882859693, 'Design': 19.09143037049847, 'Performance': 128.12934392812562, 'Security': 128.12934392812562, 'Code Style': 9.181147695725643, 'Best Practices': 44.73292186978758, 'Multithreading': 128.12934392812562, 'Documentation': 10.876535104258679} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 0, 'java.rmi': 0, 'java.util': 71, 'java.security': 0, 'java.nio': 0, 'java.lang': 65, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 0}
200967 bdonlan {'Error Prone': 13.515347012739888, 'Design': 32.52212150071931, 'Performance': 123.93454357128343, 'Security': 123.93454357128343, 'Code Style': 3.950479711597688, 'Best Practices': 27.84709205005541, 'Multithreading': 123.93454357128343, 'Documentation': 7.7222090672627655} {'java.sql': 0, 'java.text': 0, 'java.net': 0, 'java.math': 58, 'java.rmi': 0, 'java.util': 2, 'java.security': 50, 'java.nio': 63, 'java.lang': 11, 'others': 0, 'java.beans': 0, 'java.awt': 0, 'java.io': 8}
