409395 bleskes {'Multithreading': 215.58566907570244, 'Error Prone': 21.09787224120151, 'Design': 5.331423662045173, 'Performance': 120.61902018064035, 'Best Practices': 10.173067744885083, 'Code Style': 6.2455682856647385, 'Security': 227.63341080560966, 'Documentation': 11.752437736001996} {'java.lang': 5, 'java.nio': 0, 'java.io': 0, 'java.util': 19, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
17358 kchodorow {'Multithreading': 11.69653174334774, 'Error Prone': 9.39924300254483, 'Design': 5.887099880116078, 'Performance': 11.80753687684591, 'Best Practices': 10.118192785426865, 'Code Style': 3.1903075126176073, 'Security': 11.80753687684591, 'Documentation': 5.951933641956967} {'java.lang': 12, 'java.nio': 9, 'java.io': 1, 'java.util': 21, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
126508 donnfelker {'Multithreading': 151.00675363631908, 'Error Prone': 48.1097582304021, 'Design': 52.935799320132304, 'Performance': 123.69480269048846, 'Best Practices': 117.44289620074827, 'Code Style': 37.90905244725928, 'Security': 151.00675363631908, 'Documentation': 25.837511825561013} {'java.lang': 18, 'java.nio': 0, 'java.io': 0, 'java.util': 10, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
131388 twall {'Multithreading': 38.954147398305224, 'Error Prone': 28.22142335013171, 'Design': 15.209552343523036, 'Performance': 38.7701028517379, 'Best Practices': 17.915836581159716, 'Code Style': 6.816006498316848, 'Security': 47.47784346806903, 'Documentation': 5.9698625030682315} {'java.lang': 686, 'java.nio': 0, 'java.io': 180, 'java.util': 411, 'others': 0, 'java.awt': 238, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 1, 'java.math': 0, 'java.net': 4}
24303 dakrone {'Multithreading': 169.6130605830714, 'Error Prone': 52.578004549157924, 'Design': 5.33081850501043, 'Performance': 158.83093158213882, 'Best Practices': 128.40409218647096, 'Code Style': 9.860238560443534, 'Security': 227.63341080560966, 'Documentation': 19.96279933352727} {'java.lang': 78, 'java.nio': 0, 'java.io': 0, 'java.util': 97, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
41841 alexott {'Multithreading': 132.12566685985203, 'Error Prone': 64.9619944827288, 'Design': 12.023841509491703, 'Performance': 149.8584472885888, 'Best Practices': 86.7100241996493, 'Code Style': 10.869249461623285, 'Security': 179.1542683173844, 'Documentation': 20.038644908731843} {'java.lang': 0, 'java.nio': 0, 'java.io': 0, 'java.util': 0, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
241546 ben-manes {'Multithreading': 154.80908262002475, 'Error Prone': 53.16022383162912, 'Design': 11.14627092758822, 'Performance': 156.8011609678501, 'Best Practices': 46.228614462668546, 'Code Style': 7.3360188091153935, 'Security': 184.12981457302746, 'Documentation': 12.276978313578882} {'java.lang': 993, 'java.nio': 3, 'java.io': 20, 'java.util': 3316, 'others': 122, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 13, 'java.math': 0, 'java.net': 0}
53495 jwagenleitner {'Multithreading': 135.62454703073004, 'Error Prone': 66.8042026242003, 'Design': 16.96671853847918, 'Performance': 113.23893532032437, 'Best Practices': 43.09015684632881, 'Code Style': 2.7795939946529398, 'Security': 172.90922177851314, 'Documentation': 12.52721066894728} {'java.lang': 38, 'java.nio': 0, 'java.io': 1, 'java.util': 48, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
3018 tml {'Multithreading': 161.70353833316284, 'Error Prone': 29.551192732006733, 'Design': 4.57395017789847, 'Performance': 39.3292785392967, 'Best Practices': 51.1037522329076, 'Code Style': 4.878055375253355, 'Security': 161.70353833316284, 'Documentation': 23.98752004089293} {'java.lang': 1488, 'java.nio': 1, 'java.io': 43, 'java.util': 2462, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
114905 willbailey {'Multithreading': 172.1366159263296, 'Error Prone': 34.124548112265884, 'Design': 23.822395964718275, 'Performance': 172.1366159263296, 'Best Practices': 57.08708789748341, 'Code Style': 11.468213923118682, 'Security': 172.1366159263296, 'Documentation': 14.255147282594153} {'java.lang': 38, 'java.nio': 0, 'java.io': 0, 'java.util': 40, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
200967 bdonlan {'Multithreading': 123.93454357128343, 'Error Prone': 13.515347012739888, 'Design': 32.52212150071931, 'Performance': 123.93454357128343, 'Best Practices': 27.84709205005541, 'Code Style': 3.950479711597688, 'Security': 123.93454357128343, 'Documentation': 7.7222090672627655} {'java.lang': 12, 'java.nio': 63, 'java.io': 9, 'java.util': 3, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 51, 'java.math': 58, 'java.net': 0}
270144 multani {'Multithreading': 170.39502700713177, 'Error Prone': 39.49371475769407, 'Design': 14.996603114058027, 'Performance': 73.86204811533887, 'Best Practices': 71.06286968337716, 'Code Style': 6.562541012623077, 'Security': 170.39502700713177, 'Documentation': 13.169187353940075} {'java.lang': 64, 'java.nio': 0, 'java.io': 13, 'java.util': 64, 'others': 0, 'java.awt': 0, 'java.text': 4, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
23627 swankjesse {'Multithreading': 184.06645838924788, 'Error Prone': 51.009391026278365, 'Design': 13.84950740036436, 'Performance': 155.41057108295877, 'Best Practices': 81.75489256139116, 'Code Style': 9.742448426334917, 'Security': 195.6315355443935, 'Documentation': 16.861665355816054} {'java.lang': 384, 'java.nio': 8, 'java.io': 62, 'java.util': 161, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 9, 'java.net': 0}
37844 talklittle {'Multithreading': 166.24432195836502, 'Error Prone': 28.887056167487582, 'Design': 44.62724290691627, 'Performance': 172.89409483669962, 'Best Practices': 55.10579205968037, 'Code Style': 13.218267712734539, 'Security': 172.89409483669962, 'Documentation': 14.96464098558495} {'java.lang': 10, 'java.nio': 0, 'java.io': 6, 'java.util': 8, 'others': 0, 'java.awt': 0, 'java.text': 0, 'java.sql': 0, 'java.rmi': 0, 'java.beans': 0, 'java.security': 0, 'java.math': 0, 'java.net': 0}
